domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,_join_code,indCode,date_grp,dimension_grp,domain_grp,group_grp,indicator_grp,type_grp,value_grp
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2001,2795128241.0,7902.984182376066,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2002,2817982774.0,8168.321690814426,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2003,2840378133.0,8528.850379276693,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2004,2863160639.0,9073.696198278563,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2005,2886128730.0,9583.909852877112,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2006,2908976565.0,10285.251123919892,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2007,2931945847.0,11087.96033204242,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2008,2955942444.0,11621.247297116652,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2009,2981024091.0,11630.725189742872,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2010,3006436061.0,12302.342501699068,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2011,3031818549.0,12869.064810164246,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2012,3058599742.0,13418.780155524284,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2013,3087056858.0,13858.936902267154,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2014,3115874201.0,14317.047425141602,,,,,,,,,,
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2015,3143671521.0,14682.35031361053,,,,,,,,,,
